"A10","14","J0099","CHARGEBACK CLEARING ACCOUNT             "
"A11","14","K0001","COMPTROLLER OF THE TREASURY- MISC GRANTS"
"A15","14","O0001","DISPARITY GRANTS                        "
"A15","14","O0002","TEACHER RETIREMENT SUPPLEMENTAL GRANTS  "
"A15","14","O0099","CHARGEBACK CLEARING ACCOUNT             "
"A18","14","R0001","SECURITY INTEREST FILING FEES           "
"A19","14","S0001","RETIRE CONTRIB CERTAIN LOCAL EMPLOYEES  "
"A20","14","T0001","ELECTRICITY GEN EQUIP PROP TAX GRANT    "
"B75","14","A01XX","FIXED ASSETS                            "
"B75","14","A0100","GENERAL FUND REVENUE                    "
"B75","14","A0101","SENATE                                  "
"B75","14","A0102","HOUSE OF DELEGATES                      "
"B75","14","A0103","GENERAL LEGISLATIVE EXPENSES            "
"B75","14","A0104","OFFICE OF THE EXECUTIVE DIRECTOR        "
"B75","14","A0105","OFFICE OF LEGISLATIVE AUDITS            "
"B75","14","A0106","OFFICE OF LEGISLATIVE INFORMATION SYSTEM"
"B75","14","A0107","OFFICE OF POLICY ANALYSIS               "
"B75","14","A0125","CLEARING ACCOUNT                        "
"B75","14","A0150","CORPORATE PURCHASING CARD DEFAULT ACCT  "
"B75","14","A0199","CHARGEBACK CLEARING ACCOUNT             "
"C00","14","A00XX","FIXED ASSETS                            "
"C00","14","A0000","GENERAL FUND REVENUE                    "
"C00","14","A0001","COURT OF APPEALS                        "
"C00","14","A0002","COURT OF SPECIAL APPEALS                "
"C00","14","A0003","CIRCUIT COURT JUDGES                    "
"C00","14","A0004","DISTRICT COURT                          "
"C00","14","A0005","MARYLAND JUDICIAL CONFERENCE            "
"C00","14","A0006","ADMINISTRATIVE OFFICE OF COURTS         "
"C00","14","A0007","COURT RELATED AGENCIES                  "
"C00","14","A0008","STATE LAW LIBRARY                       "
"C00","14","A0009","JUDICIAL INFORMATION SYSTEMS            "
"C00","14","A0010","CIRCUIT COURT- CLERKS                   "
"C00","14","A0011","FAMILY LAW DIVISION                     "
