agency_code,agency,office_code,office,dept_code,dept,fund,approp
A15,PAYMENTS TO CIVIL DIVISIONS OF THE STATE ,A15O00,PAYMENTS TO CIVIL DIVISIONS OF THE STATE ,O0001,DISPARITY GRANTS                        ,General Fund,127808075
A15,PAYMENTS TO CIVIL DIVISIONS OF THE STATE ,A15O00,PAYMENTS TO CIVIL DIVISIONS OF THE STATE ,O0002,TEACHER RETIREMENT SUPPLEMENTAL GRANTS  ,General Fund,27658662
B75,GENERAL ASSEMBLY OF MARYLAND ,B75A01,GENERAL ASSEMBLY OF MARYLAND ,A0101,SENATE                                  ,General Fund,11971626
B75,GENERAL ASSEMBLY OF MARYLAND ,B75A01,GENERAL ASSEMBLY OF MARYLAND ,A0102,HOUSE OF DELEGATES                      ,General Fund,22910317
B75,GENERAL ASSEMBLY OF MARYLAND ,B75A01,GENERAL ASSEMBLY OF MARYLAND ,A0103,GENERAL LEGISLATIVE EXPENSES            ,General Fund,1020088
B75,GENERAL ASSEMBLY OF MARYLAND ,B75A01,GENERAL ASSEMBLY OF MARYLAND ,A0104,OFFICE OF THE EXECUTIVE DIRECTOR        ,General Fund,10921142
B75,GENERAL ASSEMBLY OF MARYLAND ,B75A01,GENERAL ASSEMBLY OF MARYLAND ,A0105,OFFICE OF LEGISLATIVE AUDITS            ,General Fund,12626728
B75,GENERAL ASSEMBLY OF MARYLAND ,B75A01,GENERAL ASSEMBLY OF MARYLAND ,A0105,OFFICE OF LEGISLATIVE AUDITS            ,General Fund,500000
B75,GENERAL ASSEMBLY OF MARYLAND ,B75A01,GENERAL ASSEMBLY OF MARYLAND ,A0106,OFFICE OF LEGISLATIVE INFORMATION SYSTEM,General Fund,4931365
B75,GENERAL ASSEMBLY OF MARYLAND ,B75A01,GENERAL ASSEMBLY OF MARYLAND ,A0107,OFFICE OF POLICY ANALYSIS               ,General Fund,16082284
C00,JUDICIARY ,C00A00,JUDICIARY ,A0001,COURT OF APPEALS                        ,General Fund,15541167
C00,JUDICIARY ,C00A00,JUDICIARY ,A0001,COURT OF APPEALS                        ,Federal Fund,78016
C00,JUDICIARY ,C00A00,JUDICIARY ,A0002,COURT OF SPECIAL APPEALS                ,General Fund,9948689
C00,JUDICIARY ,C00A00,JUDICIARY ,A0003,CIRCUIT COURT JUDGES                    ,General Fund,60860888
C00,JUDICIARY ,C00A00,JUDICIARY ,A0003,CIRCUIT COURT JUDGES                    ,Federal Fund,633148
C00,JUDICIARY ,C00A00,JUDICIARY ,A0004,DISTRICT COURT                          ,General Fund,154201210
C00,JUDICIARY ,C00A00,JUDICIARY ,A0004,DISTRICT COURT                          ,Reimbursable Fund,141000
C00,JUDICIARY ,C00A00,JUDICIARY ,A0004,DISTRICT COURT                          ,Reimbursable Fund,30000
C00,JUDICIARY ,C00A00,JUDICIARY ,A0005,MARYLAND JUDICIAL CONFERENCE            ,General Fund,107650
C00,JUDICIARY ,C00A00,JUDICIARY ,A0006,ADMINISTRATIVE OFFICE OF COURTS         ,General Fund,25911774
C00,JUDICIARY ,C00A00,JUDICIARY ,A0006,ADMINISTRATIVE OFFICE OF COURTS         ,Special Fund,16100000
C00,JUDICIARY ,C00A00,JUDICIARY ,A0006,ADMINISTRATIVE OFFICE OF COURTS         ,Special Fund,500000
C00,JUDICIARY ,C00A00,JUDICIARY ,A0006,ADMINISTRATIVE OFFICE OF COURTS         ,Special Fund,1500000
C00,JUDICIARY ,C00A00,JUDICIARY ,A0006,ADMINISTRATIVE OFFICE OF COURTS         ,Federal Fund,408350
C00,JUDICIARY ,C00A00,JUDICIARY ,A0007,COURT RELATED AGENCIES                  ,General Fund,5737556
C00,JUDICIARY ,C00A00,JUDICIARY ,A0008,STATE LAW LIBRARY                       ,General Fund,2729542
C00,JUDICIARY ,C00A00,JUDICIARY ,A0008,STATE LAW LIBRARY                       ,Special Fund,8700
C00,JUDICIARY ,C00A00,JUDICIARY ,A0009,JUDICIAL INFORMATION SYSTEMS            ,General Fund,36658835
C00,JUDICIARY ,C00A00,JUDICIARY ,A0009,JUDICIAL INFORMATION SYSTEMS            ,Special Fund,7010659
C00,JUDICIARY ,C00A00,JUDICIARY ,A0010,CIRCUIT COURT- CLERKS                   ,General Fund,78503729
C00,JUDICIARY ,C00A00,JUDICIARY ,A0010,CIRCUIT COURT- CLERKS                   ,Special Fund,17271496
C00,JUDICIARY ,C00A00,JUDICIARY ,A0010,CIRCUIT COURT- CLERKS                   ,Federal Fund,2999244
C00,JUDICIARY ,C00A00,JUDICIARY ,A0011,FAMILY LAW DIVISION                     ,General Fund,15033567
C00,JUDICIARY ,C00A00,JUDICIARY ,A0011,FAMILY LAW DIVISION                     ,Federal Fund,58766
C00,JUDICIARY ,C00A00,JUDICIARY ,A0012,MAJOR IT PROJECTS                       ,Special Fund,13331401
C80,OFFICE OF THE PUBLIC DEFENDER ,C80B00,OFFICE OF THE PUBLIC DEFENDER ,B0001,GENERAL ADMINISTRATION                  ,General Fund,6543254
C80,OFFICE OF THE PUBLIC DEFENDER ,C80B00,OFFICE OF THE PUBLIC DEFENDER ,B0002,DISTRICT OPERATIONS                     ,General Fund,79149098
C80,OFFICE OF THE PUBLIC DEFENDER ,C80B00,OFFICE OF THE PUBLIC DEFENDER ,B0002,DISTRICT OPERATIONS                     ,Special Fund,193529
C80,OFFICE OF THE PUBLIC DEFENDER ,C80B00,OFFICE OF THE PUBLIC DEFENDER ,B0002,DISTRICT OPERATIONS                     ,Reimbursable Fund,882600
C80,OFFICE OF THE PUBLIC DEFENDER ,C80B00,OFFICE OF THE PUBLIC DEFENDER ,B0003,APPELLATE AND INMATE SERVICES           ,General Fund,5773209
C80,OFFICE OF THE PUBLIC DEFENDER ,C80B00,OFFICE OF THE PUBLIC DEFENDER ,B0004,INVOLUNTARY INSTITUTIONALIZATION SERV.  ,General Fund,1343346
C81,OFFICE OF THE ATTORNEY GENERAL ,C81C00,OFFICE OF THE ATTORNEY GENERAL ,C0001,LEGAL COUNSEL AND ADVICE                ,General Fund,5107988
C81,OFFICE OF THE ATTORNEY GENERAL ,C81C00,OFFICE OF THE ATTORNEY GENERAL ,C0001,LEGAL COUNSEL AND ADVICE                ,Special Fund,457074
C81,OFFICE OF THE ATTORNEY GENERAL ,C81C00,OFFICE OF THE ATTORNEY GENERAL ,C0001,LEGAL COUNSEL AND ADVICE                ,Reimbursable Fund,1217000
C81,OFFICE OF THE ATTORNEY GENERAL ,C81C00,OFFICE OF THE ATTORNEY GENERAL ,C0004,DIVISON OF SECURITIES                   ,General Fund,2314308
C81,OFFICE OF THE ATTORNEY GENERAL ,C81C00,OFFICE OF THE ATTORNEY GENERAL ,C0005,DIVISION OF CONSUMER PROTECTION         ,Special Fund,4761591
C81,OFFICE OF THE ATTORNEY GENERAL ,C81C00,OFFICE OF THE ATTORNEY GENERAL ,C0005,DIVISION OF CONSUMER PROTECTION         ,Special Fund,5000
C81,OFFICE OF THE ATTORNEY GENERAL ,C81C00,OFFICE OF THE ATTORNEY GENERAL ,C0005,DIVISION OF CONSUMER PROTECTION         ,Reimbursable Fund,1059660
